"id","name","country_id","created_at","updated_at"
170,Jimma Zone,11,2019-02-08 00:45:00.702,2019-02-08 00:45:00.702
171,Al Hudaydah,47,2019-02-11 03:21:12.335,2019-02-11 03:21:12.335
172,Tarime,27,2019-02-13 01:08:09.171,2019-02-13 01:08:09.171
173,Cusco,23,2019-02-13 01:40:50.966,2019-02-13 01:40:50.966
174,La Convención,23,2019-02-27 14:56:58.347,2019-02-27 14:56:58.347
175,Caldas Department,14,2019-03-08 03:37:30.833,2019-03-08 03:37:30.833
176,Eastern Highlands,25,2019-03-08 04:12:14.510,2019-03-08 04:12:14.510
177,Jauja province,23,2019-03-08 04:18:48.693,2019-03-08 04:18:48.693
178,Chimbu,25,2019-03-08 13:58:37.874,2019-03-08 13:58:37.874
179,Borena,11,2019-03-08 23:09:48.525,2019-03-08 23:09:48.525
180,San Ignacio,23,2019-03-12 00:44:03.898,2019-03-12 00:44:03.898
181,Sidama,11,2019-03-13 13:04:22.810,2019-03-13 13:04:22.810
182,Cortés,22,2019-03-20 00:06:50.302,2019-03-20 00:06:50.302
183,Nevada,15,2019-03-20 01:16:36.824,2019-03-20 01:16:36.824
184,SNNPR,11,2019-03-24 02:16:06.563,2019-03-24 02:16:06.563
185,Ginkongoro,24,2019-03-24 02:39:27.145,2019-03-24 02:39:27.145
186,Junín,23,2019-03-25 03:04:12.470,2019-03-25 03:04:12.470
187,Loja,20,2019-04-05 19:24:38.683,2019-04-05 19:24:38.683
188,El Quiché,4,2019-04-08 02:13:56.892,2019-04-08 02:13:56.892
189,Rhode Island,15,2019-04-11 01:03:50.859,2019-04-11 01:03:50.859
190,Texas,15,2019-04-11 03:23:40.361,2019-04-11 03:23:40.361
191,Victoria,33,2019-04-11 22:08:10.066,2019-04-11 22:08:10.066
192,Cibitoke,12,2019-04-11 22:42:35.479,2019-04-11 22:42:35.479
193,Maine,15,2019-04-12 01:46:08.283,2019-04-12 01:46:08.283
194,Rutana,12,2019-04-12 03:06:25.102,2019-04-12 03:06:25.102
195,Maryland,15,2019-04-12 03:46:20.879,2019-04-12 03:46:20.879
196,Maine,15,2019-04-12 03:48:33.126,2019-04-12 03:48:33.126
197,Mississippi,15,2019-04-12 03:53:39.141,2019-04-12 03:53:39.141
198,Delaware,15,2019-04-12 03:54:54.493,2019-04-12 03:54:54.493
199,Dubai,49,2019-04-13 00:13:01.277,2019-04-13 00:13:01.277
200,Kariua,3,2019-04-13 00:31:22.825,2019-04-13 00:31:22.825
201,Sa’ada,47,2019-04-13 00:47:38.624,2019-04-13 00:47:38.624
202,Limmu,11,2019-04-13 01:36:06.419,2019-04-13 01:36:06.419
203,Rodriguez de Mendoza,23,2019-04-18 15:45:54.761,2019-04-18 15:45:54.761
204,Gitega,12,2019-04-21 02:59:01.620,2019-04-21 02:59:01.620
205,Mount Karisimbi,24,2019-04-21 20:37:24.284,2019-04-21 20:37:24.284
206,Sololá Department,4,2019-04-21 20:50:24.286,2019-04-21 20:50:24.286
207,North Kivu,39,2019-04-22 00:06:45.925,2019-04-22 00:06:45.925
208,Songwe,27,2019-04-28 22:39:01.118,2019-04-28 22:39:01.118
209,Eastern Province,14,2019-04-28 23:53:36.587,2019-04-28 23:53:36.587
210,Gedio,11,2019-05-06 19:01:46.601,2019-05-06 19:01:46.601
211,Caranavi,43,2019-05-08 01:03:45.223,2019-05-08 01:03:45.223
212,Chanchamayo,23,2019-05-13 16:56:00.461,2019-05-13 16:56:00.461
213,La Paz,43,2019-05-28 14:40:02.059,2019-05-28 14:40:02.059
214,East Wellega,11,2019-05-28 18:47:49.058,2019-05-28 18:47:49.058
215,San Miguel de Urcuquí,20,2019-05-31 18:04:04.392,2019-05-31 18:04:04.392
216,Santa Cruz,43,2019-06-04 14:21:38.732,2019-06-04 14:21:38.732
217,Espirito Santo,16,2019-06-18 15:14:22.559,2019-06-18 15:14:22.559
218,Magdalena,14,2019-06-22 18:58:25.147,2019-06-22 18:58:25.147
219,Hong Kong,40,2019-06-25 21:24:47.261,2019-06-25 21:24:47.261
220,Central and Western,50,2019-06-27 02:15:04.750,2019-06-27 02:15:04.750
221,West Gothland,37,2019-06-27 22:20:07.140,2019-06-27 22:20:07.140
222,Emilia-Romagna,10,2019-06-29 21:09:51.248,2019-06-29 21:09:51.248
223,Missouri,15,2019-06-30 02:25:20.229,2019-06-30 02:25:20.229
