"id","created_at","updated_at","name","label","website","iana_timezone"
114,2019-04-11 03:23:40.349,2019-04-12 03:27:01.821,apex coffee roasters,Apex Coffee Roasters,https://www.apexcoffeeroasters.com,
112,2019-04-10 17:04:27.514,2019-04-12 03:28:12.122,pure intentions coffee,Pure Intentions Coffee,https://pureintentionscoffee.com/,
115,2019-04-11 22:08:10.054,2019-04-12 03:29:11.976,st. ali coffee,ST. ALi COFFEE,https://stali.com.au,
116,2019-04-12 01:46:08.271,2019-04-12 03:46:20.890,speckled ax,Speckled Ax,https://speckledax.com/,
117,2019-04-12 03:53:39.118,2019-04-12 03:54:08.887,brandywine coffee roasters,Brandywine Coffee Roasters,https://www.brandywinecoffeeroasters.com/,
118,2019-04-13 00:13:01.263,2019-04-13 01:00:14.144,jebena specialty coffee,Jebena Specialty Coffee,https://www.jebenacoffees.com,
119,2019-04-13 01:03:44.003,2019-04-13 01:04:07.241,hi-top coffee,Hi-Top Coffee,https://hi-topcoffee.com,
121,2019-04-27 14:48:39.834,2019-04-27 14:50:49.885,discovery coffee,Discovery Coffee,https://discoverycoffee.com,
122,2019-05-12 17:52:46.781,2019-05-12 17:55:53.529,foglifter coffee,Foglifter Coffee,https://www.fogliftercoffee.com,
125,2019-05-21 15:00:41.892,2019-05-22 14:19:15.638,go get em tiger,Go Get Em Tiger,https://gget.com/,
124,2019-05-17 16:54:14.981,2019-06-27 02:10:51.657,sey coffee,Sey Coffee,https://www.seycoffee.com/,
127,2019-06-25 21:24:47.249,2019-06-27 02:15:04.763,cupping room coffee roasters,Cupping Room Coffee Roasters,https://cuppingroom.hk/,
129,2019-06-29 21:09:51.227,2019-06-29 21:14:27.755,gardelli specialty coffee,Gardelli Specialty Coffee,https://shop.gardellicoffee.com/,
130,2019-06-30 02:25:20.218,2019-06-30 02:25:54.616,sump coffee,Sump Coffee,https://www.sumpcoffee.com,
135,2019-07-15 23:19:46.343,2019-07-16 00:46:11.146,bridgehead,Bridgehead,https://www.bridgehead.ca,
133,2019-07-05 19:30:34.134,2019-07-18 16:18:23.497,passenger coffee roasting,Passenger Coffee Roasting,https://www.passengercoffee.com/,
136,2019-07-18 15:51:31.366,2019-07-18 17:23:44.664,vesta coffee roasters,Vesta Coffee Roasters,https://vestacoffee.com,America/Los_Angeles
128,2019-06-27 22:20:07.095,2019-07-18 16:03:53.664,morgon coffee roasters,Morgon Coffee Roasters,https://www.morgoncoffeeroasters.com/,
131,2019-07-02 14:44:45.165,2019-07-18 16:10:16.383,koppi,Koppi,https://www.koppi.se/,
158,2019-09-16 00:57:12.096,2019-09-16 01:38:30.505,doma coffee roasting company,DOMA Coffee Roasting Company,https://domacoffee.com,
165,2019-09-25 18:08:43.201,2019-09-25 18:10:56.930,onda origins,Onda Origins,https://ondaorigins.com,
170,2019-10-06 01:38:54.065,2019-10-06 01:49:28.228,five & hoek coffee,Five & Hoek Coffee,https://www.fiveandhoek.com,
172,2019-10-11 15:34:40.113,2019-10-11 15:35:35.781,climpson & sons,Climpson & Sons,https://climpsonandsons.com/,
174,2019-10-18 01:24:41.688,2019-10-18 01:45:39.677,(8mdt) huit maison de torrefaction,(8MDT) HUIT Maison de torréfaction,https://8mdt.ca/,
176,2019-10-18 20:12:51.902,2019-10-18 20:15:29.881,crs coffee roasters,CRS Coffee Roasters,http://www.coffeeroasters.pl,
177,2019-10-23 01:18:39.606,2019-10-24 01:59:15.060,red rooster coffee,Red Rooster Coffee,https://redroostercoffee.com,
179,2019-10-24 01:51:29.548,2019-10-29 01:02:59.464,campos north america,Campos North America,https://us.camposcoffee.com,
188,2019-11-08 21:26:47.045,2019-11-08 21:28:29.098,autumn coffee roasters,Autumn Coffee Roasters,http://acr.coffee,
193,2019-11-22 00:05:09.842,2019-11-22 14:24:30.722,andytown coffee roasters,Andytown Coffee Roasters,https://www.andytownsf.com,
197,2019-12-06 19:18:19.845,2019-12-06 19:22:33.205,analog coffee,Analog Coffee,https://www.analogcoffee.ca,
202,2019-12-16 02:18:50.727,2019-12-16 02:39:56.576,supreme roastworks.,supreme roastworks.,https://www.srw.no,
206,2019-12-18 17:39:20.809,2019-12-18 17:40:25.143,pala kaffeebrenneri,Pala Kaffeebrenneri,https://www.pala.no/,
207,2019-12-19 19:05:49.247,2019-12-19 19:15:24.233,andrew's roastworks,Andrew's Roastworks,https://papamama.id/,
210,2020-01-01 20:19:49.827,2020-01-02 01:04:19.226,kb coffee roasters,KB Coffee Roasters,https://kbcoffeeroasters.com,
126,2019-05-29 16:20:09.240,2020-01-04 01:16:26.650,elysian coffee roasters,Elysian Coffee Roasters,https://elysiancoffee.com,
214,2020-01-15 19:31:03.934,2020-01-15 19:31:54.635,caffe vita,Caffe Vita,https://www.caffevita.com/,
217,2020-01-22 17:38:26.542,2020-01-22 17:45:52.102,stone creek coffee,Stone Creek Coffee,https://www.stonecreekcoffee.com/,
94,2019-01-17 02:12:10.625,2020-04-13 20:03:25.237,tim wendelboe,Tim Wendelboe,https://timwendelboe.no/,
223,2020-04-14 18:57:28.790,2020-04-14 18:59:07.621,brown bag coffee roasters,Brown Bag Coffee Roasters,https://bbcr.ca/,
224,2020-04-14 19:05:48.300,2020-04-14 19:10:46.834,espanola coffee roasters,Espanola Coffee Roasters,https://espanolacoffeeroasters.com/,
225,2020-04-14 19:19:46.738,2020-04-14 19:20:56.031,ethica coffee roasters,Ethica Coffee Roasters,https://ethicaroasters.com/,
226,2020-04-14 19:24:48.348,2020-04-14 19:25:48.300,happy goat coffee,Happy Goat Coffee,https://www.happygoatcoffee.com/,
230,2020-04-14 19:47:06.600,2020-04-14 19:48:14.302,signal coffee co.,Signal Coffee Co.,https://signalcoffeeco.com/,
231,2020-04-14 19:52:06.085,2020-04-14 19:52:42.589,sly and sons coffee roasters,Sly and Sons Coffee Roasters,https://slyandsons.com/,
232,2020-04-14 19:55:26.903,2020-04-14 19:57:35.140,smile tiger coffee roasters,Smile Tiger Coffee Roasters,https://smiletigercoffee.com/,
238,2020-05-03 17:58:41.456,2020-05-03 17:59:41.402,melk cafe,Melk Cafe,https://melk-cafe.myshopify.com/,
132,2019-07-04 19:38:05.229,2019-07-18 16:15:31.914,april coffee roasters,April Coffee Roasters,https://www.aprilcoffeeroasters.com/,
134,2019-07-12 20:14:01.481,2019-07-18 16:23:20.936,kakalove cafe,Kakalove Cafe,https://www.kakalovecafe.com.tw/,
137,2019-07-19 13:31:43.001,2019-07-19 13:32:40.445,mok coffee,MOK Coffee,https://mokcoffee.be/,
139,2019-07-19 23:46:02.890,2019-07-19 23:59:09.614,carabello coffee,Carabello Coffee,https://www.carabellocoffee.com/,
140,2019-07-23 14:41:52.695,2019-07-23 15:03:44.239,fernwood,Fernwood,https://fernwoodcoffee.com,
141,2019-07-23 15:11:23.322,2019-07-23 15:19:47.846,five elephant,Five Elephant,https://www.fiveelephant.com,
159,2019-09-17 15:07:57.766,2019-09-17 15:10:41.918,kickapoo coffee roasters,Kickapoo Coffee Roasters,https://kickapoocoffee.com,
142,2019-07-28 13:17:41.717,2019-07-31 19:30:29.302,contrabean roasting company,Contrabean Roasting Company,https://www.contrabean.ca,America/Toronto
143,2019-08-01 17:51:20.565,2019-08-01 18:04:28.992,leuchtfeuer,Leuchtfeuer,https://www.leuchtfeuer.coffee,
103,2019-02-11 02:43:06.525,2019-08-03 17:03:34.466,rogue wave,Rogue Wave,https://www.roguewavecoffee.ca,
161,2019-09-18 23:51:33.390,2019-09-19 00:37:56.108,eleven speed coffee,Eleven Speed Coffee,https://www.elevenspeedcoffee.ca,
144,2019-08-03 21:06:20.867,2019-08-06 01:01:45.720,cafe lanterne,Cafe Lanterne,https://www.cafelanterne.com,
145,2019-08-06 16:20:35.698,2019-08-06 18:44:36.086,garage coffee bros,Garage Coffee Bros,https://garagecoffeebros.com,
146,2019-08-07 14:53:59.299,2019-08-07 14:57:58.808,atkinsons coffee roasters,Atkinsons Coffee Roasters,https://thecoffeehopper.com,
