"id","name","color","created_at","updated_at","ancestry","ancestry_depth"
52,Cardboard,#6C6C6C,2017-09-19 00:17:25.500,2020-05-07 18:29:50.299,"49/50",2
64,Medicinal,#6C6C6C,2017-09-19 00:17:25.549,2020-05-07 18:29:50.339,"49/61",2
65,Petroleum,#6C6C6C,2017-09-19 00:17:25.553,2020-05-07 18:29:50.344,"49/61",2
67,Rubber,#6C6C6C,2017-09-19 00:17:25.565,2020-05-07 18:29:50.349,"49/61",2
63,Salty,#FE4A0F,2017-09-19 00:17:25.545,2018-10-11 01:35:45.462,"144/145",2
59,Meat-like,#FE4A0F,2017-09-19 00:17:25.527,2018-10-11 01:35:45.482,"144/145",2
71,Roast,#B53E27,2017-09-19 00:17:25.585,2018-10-11 01:35:45.527,"68",1
74,Smokey,#B53E27,2017-09-19 00:17:25.599,2018-10-11 01:35:45.535,"68/71",2
75,Burnt sugar,#B53E27,2017-09-19 00:17:25.602,2018-10-11 01:35:45.539,"68/71",2
205,Apple / Pear,#71B700,2018-10-11 01:35:45.965,2020-05-07 18:17:24.066,"1",1
19,Citrus,#F3BE00,2017-09-19 00:17:25.365,2020-05-07 18:18:14.443,"1",1
88,Nut,#8A441F,2017-09-19 00:17:25.649,2020-05-07 18:20:05.733,"87",1
210,Under ripe,#6C6C6C,2018-10-11 01:35:46.006,2020-05-07 18:23:05.114,"49",1
214,Under roast,#6C6C6C,2018-10-11 01:35:46.023,2020-05-07 18:23:05.119,"49",1
217,Over roast,#6C6C6C,2018-10-11 01:35:46.032,2020-05-07 18:23:05.124,"49",1
219,Tainted,#6C6C6C,2018-10-11 01:35:46.057,2020-05-07 18:23:05.130,"49",1
50,Aged or faded,#6C6C6C,2017-09-19 00:17:25.492,2020-05-07 18:23:05.135,"49",1
224,Potato defect,#6C6C6C,2018-10-11 01:35:46.107,2020-05-07 18:23:05.140,"49",1
226,Mold,#6C6C6C,2018-10-11 01:35:46.113,2020-05-07 18:23:05.145,"49",1
61,Phenolic,#6C6C6C,2017-09-19 00:17:25.538,2020-05-07 18:23:05.151,"49",1
230,Rotten,#6C6C6C,2018-10-11 01:35:46.155,2020-05-07 18:23:05.156,"49",1
106,Black tea,#388660,2017-09-19 00:17:25.729,2020-05-07 18:29:49.841,"37/128",2
97,Molasses,#D28269,2017-09-19 00:17:25.696,2020-05-07 18:29:49.884,"95/171",2
99,Caramel,#D28269,2017-09-19 00:17:25.703,2020-05-07 18:29:49.889,"95/171",2
100,Honey,#D28269,2017-09-19 00:17:25.707,2020-05-07 18:29:49.894,"95/171",2
