"id","name","label","species_id","created_at","updated_at","description"
154,Yemeni Heirlooms,Yemeni Heirlooms,1,2019-02-11 03:23:56.912,2019-02-11 03:23:56.912,
155,Dago,Dago,1,2019-02-13 14:34:30.879,2019-02-13 14:34:30.879,
156,Catimor 129,Catimor 129,1,2019-02-16 23:59:59.186,2019-02-16 23:59:59.186,
158,unknown,Unknown,1,2019-02-22 03:21:23.777,2019-02-22 03:21:23.777,
160,Marsellesa,Marsellesa,1,2019-02-25 14:47:55.130,2019-02-25 14:47:55.130,
161,Kurume Peaberry,Kurume Peaberry,1,2019-03-06 14:11:34.646,2019-03-06 14:11:34.646,
162,Chimeco,Chimeco,1,2019-03-15 00:34:24.985,2019-03-15 00:34:24.985,
163,Híbrido Tico,Híbrido Tico,1,2019-03-17 15:10:19.164,2019-03-17 15:10:19.164,
164,Ateng,Ateng,1,2019-03-17 15:26:26.548,2019-03-17 15:26:26.548,
165,Jember,Jember,1,2019-03-17 15:28:25.056,2019-03-17 15:28:25.056,
166,Garundang,Garundang,1,2019-03-17 15:28:43.985,2019-03-17 15:28:43.985,
167,bourbon 139,Bourbon 139,1,2019-03-18 15:02:46.591,2019-03-18 15:02:46.591,
168,Red Acaia,Red Acaia,1,2019-03-27 13:29:53.571,2019-03-27 13:29:53.571,
171,Oerias,Oerias,1,2019-04-03 12:53:08.127,2019-04-03 12:53:08.127,
172,Mbirzi 49,Mbirzi 49,1,2019-04-10 12:51:55.714,2019-04-10 12:51:55.714,
173,Mbirizi 68,Mbirizi 68,1,2019-04-10 12:53:17.701,2019-04-10 12:53:17.701,
174,Welicho,Welicho,1,2019-04-11 19:35:39.839,2019-04-11 19:35:39.839,
175,Lampira,Lampira,1,2019-04-12 00:55:07.111,2019-04-12 00:55:07.111,
177,Caturra Chiroso,Caturra Chiroso,1,2019-04-20 20:02:44.613,2019-04-20 20:02:44.613,
178,Rubi,Rubi,1,2019-04-21 20:26:55.864,2019-04-21 20:26:55.864,
179,Aramosa,Aramosa,1,2019-05-15 15:44:11.348,2019-05-15 15:44:11.348,
159,SL28 Peaberry,SL28 Peaberry,1,2019-02-24 23:15:32.270,2019-05-23 02:17:15.182,
176,SL34 Peaberry,SL34 Peaberry,1,2019-04-17 01:59:25.857,2019-05-23 02:17:30.699,
180,Abyssinia,Abyssinia,1,2019-05-29 13:57:44.810,2019-05-29 13:57:44.810,
181,Castillo Naranjal,Castillo Naranjal,1,2019-05-29 15:46:54.753,2019-05-29 15:46:54.753,
182,Bourbon Peaberry,Bourbon Peaberry,1,2019-05-31 17:00:12.829,2019-05-31 17:00:12.829,
184,Certo,Certo,1,2019-06-18 15:10:12.895,2019-06-18 15:10:12.895,
185,Pache San Ramon,Pache San Ramon,1,2019-06-18 15:39:20.860,2019-06-18 15:39:20.860,
111,yellow colombia,Yellow Colombia,1,2018-10-30 22:48:27.122,2019-06-24 17:35:10.097,
157,mibirizi,Mibirizi,1,2019-02-20 14:20:33.498,2019-06-24 17:40:43.805,
183,KT423,KT423,1,2019-06-18 15:06:04.051,2019-06-24 17:43:30.228,
141,KP423,KP423,1,2019-01-17 03:21:26.681,2019-06-24 17:45:18.755,
186,Wush wush,Wush Wush,1,2019-06-30 01:50:43.422,2019-06-30 01:50:43.422,
187,Catucai,Catucai,1,2019-07-05 20:10:48.822,2019-07-05 20:10:48.822,
188,Acauā,Acauā,1,2019-07-07 19:43:41.243,2019-07-07 19:43:41.243,
